Province/State,Country/Region,Lat,Long,Confirmed,Region,Death,Recovered,Active,Region
British Virgin Islands,United Kingdom,18.4207,-64.64,71,Americas,1,42850,69,Americas
Cayman Islands,United Kingdom,19.3133,-81.2546,239,Americas,1,8,237,Americas
Channel Islands,United Kingdom,49.3723,-2.3644,795,Europe,48,1354,699,Europe
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,Americas,0,15179,13,Americas
Gibraltar,United Kingdom,36.1408,-5.3536,641,Europe,0,7771,641,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,348,Europe,24,12,300,Europe
Montserrat,United Kingdom,16.742498,-62.187366,13,Americas,1,1,11,Americas
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,699,Americas,6,6,687,Americas
,United Kingdom,55.3781,-3.436,830998,Europe,44571,44000,741856,Europe
,Uruguay,-32.5228,-55.7658,2759,Americas,53,53,2653,Americas
,Uzbekistan,41.377491,64.585262,64724,Asia,542,542,63640,Asia
,Venezuela,6.4238,-66.5897,88718,Americas,764,764,87190,Americas
,Vietnam,14.058324,108.277199,1148,Asia,35,35,1078,Asia
,West Bank and Gaza,31.9522,35.2332,49579,Asia,439,439,48701,Asia
,Western Sahara,24.2155,-12.8858,10,Africa,1,1,8,Africa
,Yemen,15.552727,48.516388,2060,Asia,599,599,862,Asia
,Zambia,-13.133897,27.849332,16095,Africa,346,346,15403,Africa
,Zimbabwe,-19.015438,29.154857,8257,Africa,236,236,7785,Africa
